date,idx
200006,22.7941572861
200007,23.0032779601
200008,23.1287501735
200009,23.2751352183
200010,23.4006074317
200011,23.2123986341
200012,22.9405413759
200101,22.9614542073
200102,23.2333105105
200103,23.4424311845
200104,23.6933765663
200105,24.0488813301
200106,24.5716830151
200107,25.2617816213
200108,26.2237365307
200109,26.6838025865
200110,26.7256263393
200111,26.7883629235
200112,27.3739011927
200201,29.1514269217
200202,30.4270628421
200203,31.4935790435
200204,31.7863481781
200205,31.9536441443
200206,32.2045895261
200207,33.0410722221
200208,34.2957962661
200209,35.9687616581
200210,35.9896735345
200211,35.7805528605
200212,35.8014656919
200301,35.2159274227
200302,35.3204877597
200303,35.5296084337
200304,36.1987951635
200305,37.1189253651
200306,37.4535192075
200307,37.6913885784
200308,38.1412484314
200309,39.0883557844
200310,40.0620945748
200311,39.7670792543
200312,39.44661671
200401,39.3301655308
200402,39.5962602524
200403,39.8177702845
200404,40.1100065229
200405,40.1741737136
200406,40.0823331685
200407,39.9306735978
200408,39.6898494228
200409,39.5613173541
200410,39.4010731893
200411,39.1979327943
200412,39.0452188915
200501,38.9254461838
200502,39.3328233264
200503,39.5311237255
200504,39.9916968922
200505,40.3808906249
200506,41.2707030465
200507,42.0684781907
200508,42.256233358
200509,42.3297930822
200510,42.2549794286
200511,42.357759625
200512,42.5895121503
200601,42.9857443142
200602,43.4669953796
200603,44.2346580711
200604,45.234163059
200605,46.1407168239
200606,46.4351591378
200607,46.559227485
200608,46.6780279914
200609,46.9652141315
200610,48.0013772175
200611,50.9900345573
200612,52.8596548644
200701,53.7920149372
200702,53.9581152296
200703,54.0457814216
200704,54.0411056876
200705,53.9320864041
200706,53.9610728987
200707,54.1239977795
200708,54.2373814633
200709,54.3562535955
200710,54.4969305395
200711,54.6687952784
200712,54.7449726878
200801,55.0093932751
200802,55.3053464165
200803,56.0706569159
200804,57.18759795246
200805,57.670261215827
200806,57.965973246792
200807,58.107071474338
200808,58.102456203544
200809,58.111834638426
200810,57.935935238633
200811,57.447013448805
200812,56.506095388546
200901,55.988958155753
200902,55.894365827686
200903,55.752619755996
200904,55.948196171322
200905,56.044586894497
200906,56.324003099148
200907,56.819837088491
200908,57.110397310004
200909,57.787364135582
200910,57.989484164873
200911,57.977340622109
200912,57.961429826539
201001,58.012850085254
201002,58.168351876738
201003,58.156689398526
201004,58.056533753153
201005,57.844759190136
201006,57.517824699734
201007,57.215845196623
201008,56.955915633696
