date,idx
201104,69.640633672969
201105,70.357540061144
201106,70.827339252135
201107,71.222186317113
201108,71.72579562551
201109,72.222278217201
201110,72.600401768935
201111,73.005979901891
201112,73.166957838853
201201,73.305719423809
201202,73.446451149185
201203,73.587019304889
201204,73.691646586567
201205,73.712769565985
201206,73.66928017015
201207,73.560395153158
201208,73.448843311547
201209,73.292187991101
201210,73.162855227446
201211,73.094137655314
201212,73.031684142073
201301,72.967761885416
201302,72.909365410947
201303,72.871276857306
201304,72.861786476054
201305,72.844685818205
201306,72.801647191865
201307,72.782696454632
201308,72.733393005015
201309,72.763680187876
201310,72.933482762706
201311,73.101639939337
201312,73.274950648683
201401,73.366421126758
201402,73.504937784396
201403,73.763523168519
201404,73.950565416112
201405,73.997770493217
201406,74.039785082473
201407,74.107533946752
201408,74.211528557521
201409,74.44806194581
201410,74.714685951054
201411,74.891734626812
201412,75.059182405652
201501,75.173299942284
201502,75.372665347472
201503,75.714756493868
201504,76.142613533868
201505,76.485800247657
201506,76.883552621086
201507,77.226085471605
201508,77.577253877659
201509,78.028709854475
201510,78.309106093401
201511,78.696708567852
201512,78.853723893838
201601,78.917663444572
201602,78.981503280505
201603,78.992806217007
201604,79.016978317998
201605,79.072470480424
201606,79.143510206231
201607,79.253871076377
201608,79.366352517376
201609,79.486607408588
201610,79.71712744551
201611,79.969384305179
201612,80.0350031385
201701,80.051190542818
201702,80.054387654133
201703,80.068628073945
201704,80.095780018764
201705,80.134613822097
201706,80.313541855396
201707,80.522608866951
201708,80.752553124415
201709,80.797897518419
201710,80.878901277829
201711,80.984399273306
201712,81.08192019001
201801,81.250596118341
201802,81.41630912562
201803,81.638765648916
201804,81.749834036032
201805,81.792717542427
201806,81.83834938489
201807,81.85480394105
201808,82.044394044349
201809,82.934753167022
201810,83.444320637273
201811,83.531019118279
201812,83.529998687057
201901,83.456629399803
201902,83.361192037207
201903,83.200691968713
201904,82.999811119488
201905,82.884813539758
201906,82.720234400384
201907,82.646993287905
201908,82.634062549714
201909,82.65667554885
201910,82.749087677279
201911,82.869931987979
201912,83.227907458598
202001,83.542361750288
202002,83.923012565723
202003,84.537410910015
202004,84.748199353555
202005,84.840725501858
202006,85.250188272435
202007,86.19754091895
202008,87.00052100521
202009,87.878534331446
202010,88.384511888616
202011,89.720577195921
202012,91.256577242734
202101,92.6414445852
202102,94.269756063383
202103,95.900938050233
202104,97.272662775969
202105,98.492687360319
202106,100.353512809667
202107,101.878093948763
202108,103.899346548454
202109,105.944047163529
202110,107.334122388985
202111,108.986783106061
202112,109.668517083683
202201,110.015316109341
202202,110.194687567072
202203,110.308410113294
202204,110.521808774833
202205,110.798556579021
202206,110.843174086981
202207,110.761082511858
202208,110.510240898457
202209,110.245316034444
202210,109.430993156433
202211,107.878182756007
202212,106.241651515674
202301,104.211223812334
202302,103.003109691615
202303,101.744241293528
202304,100.580607108595
202305,99.726205279184
202306,99.37560102628
202307,99.111855649123
202308,99.026735667322
202309,99.110988964635
202310,99.202660980208
202311,99.208625612502
202312,99.101820847619
202401,98.947892087799
202402,98.840241530226
202403,98.681072550574
202404,98.467396382991
202405,98.339587869328
202406,98.246266778735
202407,98.24429063401
202408,98.360147912476
202409,98.536858842973
202410,98.640451854603
202411,98.646532166241
202412,98.552413438973
202501,98.406001192777
202502,98.267697582328
202503,98.223088361603
202504,98.247239998205
202505,98.263751147454
202506,98.416985452203
202507,98.622654194828
202508,98.652894720083
202509,98.756100895198
202510,99.034942028795
202511,99.437174148336
202512,99.750624852697
202601,100.0
202602,100.404504300959
202603,100.843197158039
202604,101.163195912
202605,101.4147871678
202606,101.7480720182
