ticker,kind,date,price,dev_pct_vs_center
AMZN,high,2021-07-08,186.57049560546875,0.5855950288872531
AMZN,high,2022-08-16,144.77999877929688,0.06004478647674594
AMZN,high,2024-04-11,189.0500030517578,0.10767486597437803
AMZN,high,2025-02-04,242.0599975585937,0.2701333402355137
AMZN,high,2026-05-06,274.989990234375,0.21948779117989603
META,low,2022-06-22,154.4933319091797,-0.3434779856722273
META,low,2022-11-03,88.13602447509766,-0.663645755835242
META,low,2023-10-26,285.8398742675781,-0.1808574294231413
META,low,2025-04-21,482.705322265625,-0.10526375941331223
META,low,2026-03-27,525.233154296875,-0.2588904071097081
META,high,2021-07-28,370.0305786132813,1.0475124222635226
META,high,2023-06-22,282.4000549316406,-0.10461516752062094
META,high,2024-04-05,523.30419921875,0.3168533464186283
META,high,2025-02-14,733.0466918945312,0.4326633477058175
META,high,2025-08-12,787.419189453125,0.3330329426498275
TSLA,low,2022-05-24,209.3866729736328,-0.09663914508668725
TSLA,low,2023-01-03,108.0999984741211,-0.5596575988187407
TSLA,low,2024-04-22,142.0500030517578,-0.48772379187913983
TSLA,low,2024-06-24,182.5800018310547,-0.35211237303147913
TSLA,low,2025-07-07,293.94000244140625,-0.05331299980530091
TSLA,high,2021-11-04,409.9700012207031,0.862302209006697
TSLA,high,2022-08-04,308.6333312988281,0.30718256439177183
TSLA,high,2023-07-18,293.3399963378906,0.13633691286161786
TSLA,high,2024-12-17,479.8599853515625,0.6276442070528425
TSLA,high,2025-12-16,489.8800048828125,0.5135442002922777
KO,low,2021-12-01,45.80206680297852,-0.0769889828494843
KO,low,2022-10-10,48.69626235961914,-0.08783163746199751
KO,low,2023-10-05,48.33445739746094,-0.16760903766431212
KO,low,2025-01-06,58.28763198852539,-0.09822516033813644
KO,low,2025-09-26,64.35115814208984,-0.0637187783234674
KO,high,2022-04-21,58.42770767211914,0.1393085330300432
KO,high,2022-08-18,57.96989822387695,0.09940278088541454
KO,high,2023-07-26,57.722412109375,0.010683882154327584
KO,high,2024-09-03,68.98186492919922,0.09883712427411284
KO,high,2026-06-10,83.05377197265625,0.13800987787482644
PEP,low,2021-06-24,124.33839416503906,-0.16778791465298615
PEP,low,2022-10-07,142.67929077148438,-0.04388175822801266
PEP,low,2023-10-12,143.37158203125,-0.038333260343135445
PEP,low,2025-05-14,122.2169952392578,-0.17901132769787664
PEP,low,2025-06-25,123.14441680908205,-0.17269256607738337
PEP,high,2022-04-28,154.58665466308594,0.03548252229378024
PEP,high,2023-05-12,175.40428161621094,0.17606632310425385
PEP,high,2023-07-26,172.55877685546875,0.15720941683858625
PEP,high,2024-09-09,166.63864135742188,0.11868291312709389
PEP,high,2026-02-06,167.22096252441406,0.12407133920573488
PG,low,2022-06-17,119.30325317382812,-0.11131239416926486
PG,low,2022-10-10,112.27579498291016,-0.1749915391249528
PG,low,2023-10-11,133.12762451171875,-0.06333380284962087
PG,low,2025-06-18,153.6013946533203,0.004561934522511413
PG,low,2026-01-07,136.04241943359375,-0.13144415828618772
PG,high,2022-02-03,147.1228790283203,0.11347499330789512
PG,high,2023-05-01,144.84812927246094,0.03902738532424466
PG,high,2024-05-21,159.7376251220703,0.09454940081240482
PG,high,2024-12-02,172.54100036621094,0.15524591137846455
PG,high,2026-02-27,165.95037841796875,0.05311118686898708
WMT,low,2022-06-17,37.55785751342773,-0.14347005081582598
WMT,low,2023-03-10,43.84294509887695,-0.16389916413404815
WMT,low,2023-12-08,49.02556228637695,-0.2218659283456621
WMT,low,2024-08-07,65.68074035644531,-0.11467237204766345
WMT,low,2026-06-02,113.05999755859376,-0.024875703962784712
WMT,high,2021-08-20,47.53622817993164,0.3273048732490089
WMT,high,2022-11-28,48.95272064208984,-0.00017517733184935214
WMT,high,2024-06-20,66.76053619384766,-0.07059769851391029
WMT,high,2025-02-13,103.6430892944336,0.2294719059328243
WMT,high,2026-02-13,133.36126708984375,0.23769360336593381
COST,low,2022-05-20,397.1513366699219,-0.1601603263103445
COST,low,2023-05-24,463.80755615234375,-0.20571647404278037
COST,low,2023-10-27,522.6971435546875,-0.18123070046516676
COST,low,2025-03-13,884.482177734375,0.03928097634964245
COST,low,2026-01-02,852.0977783203125,-0.15413535036519743
COST,high,2022-04-07,578.9583129882812,0.2547644698441973
COST,high,2022-08-18,535.9138793945312,0.07644850711891005
COST,high,2024-06-18,861.422119140625,0.17974930114838217
COST,high,2025-02-13,1069.4385986328125,0.2768815822605466
COST,high,2025-06-24,996.3115234375,0.1037475411332005
MCD,low,2022-03-10,201.2115936279297,-0.12015204248130151
MCD,low,2022-09-30,211.44332885742188,-0.11303681554184475
MCD,low,2024-05-29,236.34201049804688,-0.12387576583730331
MCD,low,2024-07-09,234.4900665283203,-0.13796892122357418
